repotoken scan: /Users/chinmayjadhav/Documents/Claude/Projects/company-brain

  file                                                            tokens            lines
  ────────────────────────────────────────────────────────────  ────────  ────────
  company-brain-frontend/package-lock.json                        114.8K      8303
  package-lock.json                                                25.4K      1917
  bun.lock                                                         23.8K       643
  schema-v0.1.md                                                   12.6K       894
  company-brain-ai/src/companybrain/pipeline/orchestrator.py       12.3K      1270
  ...ny-brain-ai/src/companybrain/pipeline/entity_extractor.py     11.6K      1162
  company-brain-ai/src/companybrain/collectors/code_tracer.py      10.2K      1141
  code-business-bridge-v0.2.md                                      9.7K       735
  build-prompt.md                                                   8.4K       472
  repotoken.txt                                                     8.4K       417
  company-brain-ai/src/companybrain/structural/parser.py            7.5K       898
  docs/ADR-006-adopt-crg-structural-and-mcp-layer.md                7.2K       486
  docs/PIPELINE-api-context-builder.md                              7.0K       712
  ...in-ai/src/companybrain/pipeline/api_contract_extractor.py      6.7K       745
  company-brain-ai/src/companybrain/agents/tools/code_tools.py      6.6K       702
  business-context-v0.2.md                                          6.6K       473
  code-context-v0.2.md                                              6.3K       526
  company-brain-ai/src/companybrain/graph/neo4j_writer.py           6.2K       743
  docs/TRADEOFFS-crg-vs-companybrain.md                             6.1K       311
  docs/RETRIEVAL-ARCHITECTURE.md                                    6.1K       682
  packages/schema/schema.yaml                                       5.9K       595
  ...-ai/src/companybrain/collectors/smart_method_extractor.py      5.8K       675
  packages/extractors/core-ts/src/passes/tree-sitter-pass.ts        5.6K       734
  company-brain-ai/src/companybrain/pipeline/ast_analyzer.py        5.5K       723
  docs/SYSTEM_DESIGN.md                                             5.4K       481
  ...c/main/java/com/companybrain/service/PipelineService.java      5.4K       565
  ...-brain-ai/src/companybrain/pipeline/intent_synthesizer.py      5.2K       557
  company-brain-ai/src/companybrain/agents/navigator_agent.py       5.2K       609
  docs/HANDOFF-week4-implementation.md                              5.2K       410
  docs/adrs/ADR-0009-shared-memory-layer.md                         5.1K       393
  ...n-ai/src/companybrain/agents/knowledge_navigator_agent.py      5.1K       589
  ...-ai/src/companybrain/pipeline/universal_code_extractor.py      5.1K       614
  ADR-007-merkle-tree-treesitter-incremental-indexing.md            4.9K       400
  docs/ARCHITECTURE-company-brain-v2.md                             4.9K       554
  company-brain-ai/src/companybrain/mcp/server.py                   4.9K       662
  packages/memory/src/snapshot-builder.ts                           4.9K       532
  ...brain-ai/tests/unit/structural/test_parser_equivalence.py      4.7K       505
  company-brain-ai/src/companybrain/mcp/tools/structural_v2.py      4.6K       661
  ...any-brain-ai/src/companybrain/collectors/git_collector.py      4.6K       560
  docs/ADR-005-artifact-centric-pipeline.md                         4.6K       358
  company-brain-frontend/src/pages/ApiExplorer.jsx                  4.6K       451
  ...in-ai/src/companybrain/pipeline/relationship_extractor.py      4.5K       368
  ADR-006-multi-agent-extraction-layer.md                           4.3K       416
  ...rain-ai/src/companybrain/pipeline/class_node_extractor.py      4.2K       509
  ADR-004-tiered-memory-and-context-assembly.md                     4.2K       442
  docs/ANALYSIS-code-review-graph.md                                4.1K       254
  docs/adrs/ADR-0008-integration-bridge.md                          4.1K       269
  ...ava/com/companybrain/service/ContextAssemblerService.java      4.1K       435
  PROVIDER-SETUP.md                                                 4.1K       385
  company-brain-ai/src/companybrain/structural/indexer.py           4.1K       539
  ADR-005-hierarchical-extraction-context.md                        4.1K       393
  docs/HANDOFF-week3-implementation.md                              4.0K       317
  company-brain-frontend/src/pages/SchemaExplorerPage.jsx           3.7K       379
  ...brain-ai/src/companybrain/pipeline/context_synthesizer.py      3.7K       343
  company-brain-ai/src/companybrain/structural/flows.py             3.7K       410
  ADR-003-query-and-function-context-extraction.md                  3.6K       317
  Makefile                                                          3.5K       236
  company-brain-ai/src/companybrain/llm/base.py                     3.5K       419
  packages/extractors/framework-sqlalchemy/src/parser.ts            3.4K       386
  company-brain-frontend/src/pages/Architecture.jsx                 3.4K       323
  packages/graph/src/client.ts                                      3.2K       402
  company-brain-ai/src/companybrain/mcp/tools/structural.py         3.2K       360
  ...in-ai/src/companybrain/pipeline/feedback_resynthesizer.py      3.1K       380
  company-brain-ai/src/companybrain/pipeline/file_walker.py         3.1K       350
  ...src/companybrain/pipeline/business_semantics_extractor.py      3.0K       368
  company-brain-ai/src/companybrain/graph/java_client.py            3.0K       382
  company-brain-ai/src/companybrain/mcp/trpc_client.py              3.0K       400
  ...ain/java/com/companybrain/service/BlastRadiusService.java      3.0K       377
  company-brain-ai/tests/unit/structural/test_indexer.py            3.0K       336
  company-brain-ai/src/companybrain/mcp/hints.py                    3.0K       313
  company-brain-ai/src/companybrain/llm/factory.py                  3.0K       325
  company-brain-frontend/src/pages/ContractBrowserPage.jsx          3.0K       332
  packages/schema/src/generated/node-types.ts                       2.9K       545
  packages/extractors/core-ts/src/passes/envelope-builder.ts        2.9K       317
  packages/extractors/git/src/extractor.ts                          2.9K       348
  .../java/com/companybrain/service/ArtifactWriterService.java      2.8K       326
  company-brain-ai/src/companybrain/mcp/tools/semantic.py           2.8K       319
  docs/HANDOFF-week2-implementation.md                              2.8K       230
  company-brain-ai/.env                                             2.8K       204
  company-brain-ai/src/companybrain/llm/ollama_provider.py          2.7K       325
  company-brain-ai/src/companybrain/pipeline/method_chunker.py      2.7K       332
  company-brain-ai/src/companybrain/pipeline/gap_detector.py        2.7K       282
  ...rain-ai/src/companybrain/collectors/llm_handler_finder.py      2.7K       316
  eval/evals.yaml                                                   2.7K       366
  company-brain-ai/.env.example                                     2.6K       208
  docs/ADR-004-universal-knowledge-schema.md                        2.6K       267
  packages/tools/src/queries/hybrid.ts                              2.6K       309
  company-brain-frontend/src/components/graph/FlowView.jsx          2.6K       302
  ...i/src/companybrain/pipeline/shared_context_accumulator.py      2.6K       267
  packages/extractors/framework-sqlalchemy/src/extractor.ts         2.5K       210
  company-brain-ai/src/companybrain/structural/backfill.py          2.5K       296
  company-brain-ai/src/companybrain/structural/topology.py          2.5K       314
  docs/adrs/ADR-0010-extraction-pipeline-optimization.md            2.5K       207
  docs/HANDOFF-week1-implementation.md                              2.5K       190
  docker-compose.infra.yml                                          2.5K       266
  ...any-brain-ai/src/companybrain/graph/staleness_detector.py      2.4K       312
  company-brain-ai/src/companybrain/pipeline/import_graph.py        2.4K       300
  docs/HANDOFF-INDEX.md                                             2.4K       175
  company-brain-ai/src/companybrain/retrieval/embedder.py           2.4K       261
  company-brain-ai/src/companybrain/config.py                       2.4K       166
  ...-brain-frontend/src/components/graph/BlastRadiusPanel.jsx      2.2K       213
  company-brain-ai/src/companybrain/structural/index_helper.py      2.2K       285
  company-brain-frontend/vscode-extension/src/extension.js          2.2K       271
  packages/extractors/framework-jpa/src/extractor.ts                2.2K       190
  company-brain-ai/src/companybrain/api/routes/query.py             2.1K       255
  packages/extractors/core-ts/src/extractor.ts                      2.1K       249
  PROJECT_CONTEXT.md                                                2.1K       186
  company-brain-ai/src/companybrain/agents/tools/registry.py        2.1K       288
  packages/schema/scripts/codegen.ts                                2.1K       272
  ...extractors/core-ts/src/__tests__/envelope-builder.test.ts      2.1K       179
  packages/extractors/framework-jpa/src/parser.ts                   2.1K       223
  scripts/check-prereqs.sh                                          2.1K       199
  .../src/main/java/com/companybrain/service/GraphService.java      2.1K       263
  ...en-compiler-plugin/compile/default-compile/inputFiles.lst      2.0K        62
  ...nd/target/classes/db/migration/V4__structural_columns.sql      2.0K       214
  ...rc/main/resources/db/migration/V4__structural_columns.sql      2.0K       214
  company-brain-ai/src/companybrain/structural/risk.py              2.0K       201
  company-brain-ai/tests/unit/structural/test_dependents.py         2.0K       231
  packages/extractors/framework-sql/src/parser.ts                   2.0K       178
  README.md                                                         2.0K       262
  company-brain-ai/src/companybrain/models/entities.py              2.0K       227
  company-brain-ai/tests/unit/structural/test_changes.py            2.0K       213
  ...y-brain-ai/src/companybrain/pipeline/context_hierarchy.py      2.0K       193
  company-brain-ai/src/companybrain/retrieval/hybrid_search.py      1.9K       216
  company-brain-ai/src/companybrain/graph/builder.py                1.9K       239
  docs/ADR-001-graph-storage.md                                     1.9K       159
  packages/memory/src/types.ts                                      1.8K       259
  packages/repo-map/src/formatter.ts                                1.8K       233
  packages/extractors/framework-openapi/src/parser.ts               1.8K       240
  company-brain-ai/src/companybrain/mcp/client.py                   1.8K       242
  eval/run.ts                                                       1.8K       200
  ADR-006-WEEK1-SUMMARY.md                                          1.7K       134
  docs/MCP-INTEGRATION.md                                           1.7K       226
  packages/schema/src/urn.ts                                        1.7K       186
  docs/ADR-003-multi-tenancy.md                                     1.7K       161
  company-brain-frontend/src/pages/QueryPage.jsx                    1.7K       187
  ...ain-ai/src/companybrain/pipeline/context_manager_agent.py      1.7K       217
  ...s/extractors/core-ts/src/__tests__/call-edge-pass.test.ts      1.7K       181
  packages/tools/src/queries/symbols.ts                             1.7K       186
  ...in-frontend/src/components/annotations/CommitTimeline.jsx      1.7K       201
  company-brain-ai/src/companybrain/api/routes/pipeline.py          1.7K       194
  docs/adrs/ADR-0003-extractor-plugin-contract.md                   1.7K       177
  packages/extractors/framework-next/src/envelope-builder.ts        1.7K       189
  packages/extractors/framework-prisma/src/parser.ts                1.6K       182
  ...d/target/classes/db/migration/V1__create_graph_tables.sql      1.6K       138
  ...c/main/resources/db/migration/V1__create_graph_tables.sql      1.6K       138
  company-brain-frontend/src/api/client.js                          1.6K       180
  packages/repo-map/src/repo-map.ts                                 1.6K       192
  packages/extractors/framework-next/src/file-scanner.ts            1.6K       234
  company-brain-ai/src/companybrain/pipeline/entity_filter.py       1.6K       175
  company-brain-ai/src/companybrain/structural/changes.py           1.5K       204
  docs/ADR-002-ingestion-pipeline.md                                1.5K       159
  packages/extractors/framework-jpa/src/envelope-builder.ts         1.5K       221
  company-brain-ai/src/companybrain/structural/dependents.py        1.5K       188
  docs/adrs/ADR-0006-framework-extractor-contract.md                1.5K       123
  docker-compose.yml                                                1.5K       173
  apps/cli/src/index.ts                                             1.5K       152
  company-brain-ai/src/companybrain/pipeline/symbol_hasher.py       1.5K       179
  ...ain/java/com/companybrain/controller/GraphController.java      1.5K       202
  packages/extractors/framework-sql/src/envelope-builder.ts         1.5K       199
  company-brain-backend/pom.xml                                     1.4K       189
  packages/tools/src/queries/database.ts                            1.4K       154
  ...-compiler-plugin/compile/default-compile/createdFiles.lst      1.4K       117
  .env.example                                                      1.4K       111
  packages/memory/src/staleness.ts                                  1.4K       164
  ...arget/classes/db/migration/V3__create_artifact_tables.sql      1.4K       147
  ...ain/resources/db/migration/V3__create_artifact_tables.sql      1.4K       147
  docs/adrs/ADR-0001-urn-identity-scheme.md                         1.4K       129
  company-brain-ai/pyproject.toml                                   1.4K       131
  packages/tools/src/queries/contracts.ts                           1.4K       148
  packages/extractors/framework-prisma/src/envelope-builder.ts      1.4K       172
  packages/extractors/framework-sql/src/extractor.ts                1.4K       129
  .../java/com/companybrain/controller/PipelineController.java      1.4K       168
  ...s/extractors/framework-sqlalchemy/src/envelope-builder.ts      1.4K       204
  ...in/java/com/companybrain/service/ArchitectureService.java      1.3K       165
  packages/extractors/framework-next/src/path-utils.ts              1.3K       158
  ...any-brain-ai/src/companybrain/pipeline/batch_processor.py      1.3K       190
  company-brain-frontend/src/api/trpc-client.js                     1.3K       175
  docs/adrs/ADR-0007-drift-detection-v1.md                          1.3K       126
  packages/tools/src/router.ts                                      1.3K       126
  packages/drift-detector/src/schema-compare.ts                     1.3K       164
  ...y-brain-ai/src/companybrain/pipeline/extraction_filter.py      1.3K       135
  company-brain-ai/src/companybrain/retrieval/qdrant_store.py       1.3K       167
  company-brain-frontend/src/pages/Dashboard.jsx                    1.3K       145
  packages/schema/src/generated/validators.ts                       1.3K       172
  packages/extractors/framework-openapi/src/extractor.ts            1.3K       120
  company-brain-ai/src/companybrain/mcp/tools/flows.py              1.3K       163
  ...y-brain-ai/src/companybrain/pipeline/pattern_distiller.py      1.3K       162
  company-brain-ai/src/companybrain/agents/base_agent.py            1.3K       169
  packages/extractors/framework-prisma/src/extractor.ts             1.3K       107
  company-brain-ai/src/companybrain/llm/openai_provider.py          1.2K       154
  ...ages/extractors/framework-openapi/src/envelope-builder.ts      1.2K       170
  packages/extractors/core-ts/src/passes/call-edge-pass.ts          1.2K       145
  docs/adrs/ADR-0004-tool-naming-conventions.md                     1.2K       123
  company-brain-ai/src/companybrain/agents/tools/git_tools.py       1.2K       153
  docs/adrs/ADR-0002-graph-storage-substrate.md                     1.2K       105
  packages/schema/src/generated/edge-types.ts                       1.2K       148
  company-brain-ai/src/companybrain/retrieval/bm25_index.py         1.1K       141
  packages/extractors/framework-sql/src/file-scanner.ts             1.1K       150
  ...main/java/com/companybrain/dto/PipelineResultRequest.java      1.1K       153
  packages/drift-detector/src/detector.ts                           1.1K        92
  ...ny-brain-ai/src/companybrain/pipeline/memory_tokenizer.py      1.1K       130
  apps/api/src/index.ts                                             1.1K       112
  ...rain-ai/src/companybrain/observability/langfuse_client.py      1.1K       146
  ...ain/java/com/companybrain/service/ResynthesisService.java      1.1K       130
  ...c/main/java/com/companybrain/service/DirtySetService.java      1.1K       127
  docs/adrs/ADR-0005-confidence-scoring-rubric.md                   1.0K        82
  packages/tools/src/queries/files.ts                               1.0K       111
  company-brain-ai/src/companybrain/llm/anthropic_provider.py        999       131
  packages/extractors/core-ts/src/types.ts                           968       123
  company-brain-ai/src/companybrain/api/routes/feedback.py           967       130
  packages/extractors/framework-next/src/extractor.ts                951        90
  ...y-brain-frontend/src/components/graph/DependencyGraph.jsx       907       113
  company-brain-backend/target/classes/application.yml               891       124
  company-brain-backend/src/main/resources/application.yml           891       124
  company-brain-ai/src/companybrain/retrieval/reranker.py            887       114
  .env                                                               869        69
  company-brain-ai/src/company_brain_ai.egg-info/SOURCES.txt         855        87
  company-brain-frontend/src/App.jsx                                 839        94
  ...src/main/java/com/companybrain/service/IngestService.java       806        99
  ...-frontend/src/components/annotations/AnnotationEditor.jsx       799        89
  ...a/com/companybrain/controller/ArchitectureController.java       768       105
  ...c/main/java/com/companybrain/security/SecurityConfig.java       726        94
  company-brain-ai/src/companybrain/mcp/tools/context.py             717        90
  ...ackend/src/main/java/com/companybrain/model/Artifact.java       711        98
  apps/extractor-worker/src/index.ts                                 676        73
  company-brain-ai/src/company_brain_ai.egg-info/PKG-INFO            674        49
  ...va/com/companybrain/repository/PipelineJobRepository.java       667        76
  packages/repo-map/src/types.ts                                     658        78
  eval/fixtures/openapi-simple/openapi.yaml                          633       137
  ...kend/src/main/java/com/companybrain/security/JwtUtil.java       616        85
  ...in-backend/src/main/java/com/companybrain/model/Edge.java       609        85
  ...d/src/main/java/com/companybrain/dto/BlastRadiusNode.java       603        74
  skills/impact-analysis/SKILL.md                                    594        61
  company-brain-ai/src/companybrain/pipeline/concurrency.py          582        69
  company-brain-ai/src/companybrain/api/routes/repo.py               568        74
  packages/extractors/framework-sqlalchemy/src/file-scanner.ts       554        83
  company-brain-backend/mvnw                                         549        56
  company-brain-ai/src/companybrain/pipeline/chunker.py              546        66
  ...end/src/main/java/com/companybrain/model/NodeContext.java       542        88
  .../src/main/java/com/companybrain/dto/AssembledContext.java       541        78
  company-brain-frontend/vscode-extension/package.json               538        69
  company-brain-backend/docker-compose.yml                           535        77
  ...end/src/main/java/com/companybrain/model/PipelineJob.java       530        86
  ...c/main/java/com/companybrain/dto/PipelineJobResponse.java       526        77
  ...rc/main/java/com/companybrain/security/JwtAuthFilter.java       514        79
  ...main/java/com/companybrain/repository/NodeRepository.java       504        52
  ollama/pull-models.sh                                              504        50
  skills/explore-codebase/SKILL.md                                   499        59
  ...in-backend/src/main/java/com/companybrain/model/Node.java       489        79
  company-brain-ai/src/companybrain/collectors/base.py               484        69
  skills/debug-incident/SKILL.md                                     478        56
  skills/review-pr/SKILL.md                                          478        54
  packages/repo-map/src/token-budget.ts                              475        50
  ...in/java/com/companybrain/controller/IngestController.java       460        60
  .../java/com/companybrain/dto/ArtifactFreshnessResponse.java       454        72
  company-brain-ai/src/companybrain/api/main.py                      451        61
  skills/onboard-engineer/SKILL.md                                   451        54
  ...src/main/java/com/companybrain/config/DatabaseConfig.java       448        75
  company-brain-ai/src/companybrain/pipeline/_retry.py               447        43
  company-brain-frontend/package.json                                430        42
  packages/extractors/framework-next/src/types.ts                    429        64
  apps/extractor-worker/src/registry.ts                              429        40
  ...ain/java/com/companybrain/dto/ContextAssemblyRequest.java       428        65
  packages/extractors/framework-jpa/src/file-scanner.ts              427        67
  eval/fixtures/prisma-simple/prisma/schema.prisma                   427        73
  ...main/java/com/companybrain/model/ArtifactChangeEvent.java       425        65
  company-brain-ai/src/company_brain_ai.egg-info/requires.txt        424        45
  ...main/java/com/companybrain/repository/EdgeRepository.java       399        39
  skills/audit-business-rule/SKILL.md                                392        47
  packages/extractors/framework-prisma/src/types.ts                  387        59
  ...nd/src/main/java/com/companybrain/model/ArtifactLink.java       382        63
  ...nd/src/main/java/com/companybrain/config/RedisConfig.java       380        50
  ...va/com/companybrain/exception/GlobalExceptionHandler.java       379        51
  packages/tools/src/index.ts                                        377        31
  eval/fixtures/ts-simple/src/billing.ts                             371        68
  .../target/classes/db/migration/V2__create_pipeline_jobs.sql       349        42
  .../main/resources/db/migration/V2__create_pipeline_jobs.sql       349        42
  packages/graph/src/extractor-types.ts                              346        55
  ...src/main/java/com/companybrain/service/EdgePrunerJob.java       325        47
  ...a/com/companybrain/repository/ArtifactLinkRepository.java       314        36
  ...n/java/com/companybrain/dto/ArtifactFreshnessRequest.java       312        53
  packages/extractors/framework-jpa/src/types.ts                     304        28
  scripts/localstack-init.sh                                         295        28
  company-brain-ai/Dockerfile                                        292        32
  company-brain-frontend/src/store.js                                291        33
  .../java/com/companybrain/repository/ArtifactRepository.java       290        34
  ...va/com/companybrain/repository/NodeContextRepository.java       289        35
  packages/tools/src/contract.ts                                     287        34
  apps/extractor-worker/package.json                                 271        20
  packages/memory/src/index.ts                                       268        52
  company-brain-backend/Dockerfile                                   256        32
  packages/extractors/framework-sql/src/types.ts                     254        37
  packages/schema/src/index.ts                                       253        52
  packages/extractors/framework-openapi/src/types.ts                 234        41
  ...ompanybrain/repository/ArtifactChangeEventRepository.java       233        32
  company-brain-ai/tests/unit/structural/EQUIVALENCE_REPORT.md       231        15
  packages/extractors/core-ts/package.json                           213        26
  packages/memory/package.json                                       206        26
  ...ackend/src/main/java/com/companybrain/dto/HubNodeDto.java       198        36
  .../main/java/com/companybrain/dto/PipelineStartRequest.java       198        35
  packages/schema/package.json                                       183        24
  ...ckend/src/main/java/com/companybrain/model/Workspace.java       176        42
  packages/extractors/framework-sqlalchemy/src/types.ts              173        23
  packages/extractors/git/package.json                               169        23
  apps/api/package.json                                              163        17
  company-brain-ai/src/companybrain/structural/__init__.py           162        21
  packages/drift-detector/src/types.ts                               162        30
  company-brain-ai/src/companybrain/db.py                            161        24
  packages/graph/package.json                                        154        22
  packages/repo-map/package.json                                     152        20
  ...end/src/main/java/com/companybrain/dto/FlowDetailDto.java       150        32
  package.json                                                       149        20
  ...end/src/main/java/com/companybrain/dto/IngestRequest.java       147        35
  apps/cli/package.json                                              146        13
  packages/tools/package.json                                        145        14
  eval/fixtures/sqlalchemy-simple/models.py                          143        20
  ...src/main/java/com/companybrain/dto/AnnotationRequest.java       141        32
  packages/extractors/framework-openapi/package.json                 137        12
  eval/fixtures/next-simple/app/api/billing/route.ts                 133        17
  ...nd/src/main/java/com/companybrain/dto/FlowSummaryDto.java       132        29
  company-brain-ai/src/companybrain/api/routes/health.py             132        24
  packages/extractors/core-ts/src/index.ts                           128        17
  company-brain-frontend/vite.config.js                              127        21
  packages/extractors/framework-sqlalchemy/package.json              125        11
  packages/extractors/framework-jpa/package.json                     124        11
  packages/extractors/framework-prisma/package.json                  124        11
  packages/extractors/framework-sql/package.json                     124        11
  packages/extractors/framework-next/package.json                    123        11
  eval/fixtures/ts-simple/src/utils.ts                               123        18
  tsconfig.base.json                                                 122        18
  packages/drift-detector/package.json                               122        11
  company-brain-frontend/tailwind.config.js                          122        13
  ...res/jpa-simple/src/main/java/com/example/entity/User.java       121        25
  eval/fixtures/ts-simple/src/types.ts                               120        21
  company-brain-frontend/src/main.jsx                                117        19
  ...nd/src/main/java/com/companybrain/dto/NodeContextDto.java       115        28
  eval/fixtures/next-simple/app/api/users/route.ts                   114        14
  company-brain-frontend/index.html                                  111        13
  eval/fixtures/sql-simple/migrations/V1__create_users.sql           108        17
  apps/api/Dockerfile                                                105        17
  ...c/main/java/com/companybrain/CompanyBrainApplication.java       101        17
  ...n-backend/src/main/java/com/companybrain/dto/EdgeDto.java       100        26
  ...end/src/main/java/com/companybrain/dto/FlowMemberDto.java        99        24
  company-brain-frontend/src/index.css                                98        15
  scripts/postgres-init.sql                                           96         7
  ...n-backend/src/main/java/com/companybrain/dto/NodeDto.java        90        24
  eval/fixtures/next-simple/app/layout.tsx                            88        17
  ...c/main/java/com/companybrain/dto/BlastRadiusResponse.java        84        22
  packages/extractors/core-ts/vitest.config.ts                        84        14
  ...main/java/com/companybrain/security/WorkspaceContext.java        80        21
  company-brain-ai/src/companybrain/graph/__init__.py                 76        10
  ...simple/src/main/java/com/example/entity/Organisation.java        75        17
  ...rc/main/java/com/companybrain/dto/AnnotationResponse.java        70        21
  company-brain-ai/src/companybrain/llm/__init__.py                   70        11
  packages/graph/src/index.ts                                         70        12
  packages/repo-map/src/index.ts                                      70         4
  ...in/java/com/companybrain/dto/NodeContextListResponse.java        63        19
  eval/fixtures/next-simple/app/dashboard/page.tsx                    59        13
  ...end/src/main/java/com/companybrain/dto/GraphResponse.java        58        18
  company-brain-ai/src/companybrain/mcp/__init__.py                   58         5
  .../src/main/java/com/companybrain/dto/NodeListResponse.java        55        18
  ...java/com/companybrain/repository/WorkspaceRepository.java        55        12
  eval/fixtures/next-simple/app/page.tsx                              55        12
  ...nd/src/main/java/com/companybrain/dto/IngestResponse.java        49        16
  packages/graph/tsconfig.json                                        45         8
  packages/drift-detector/tsconfig.json                               45         8
  packages/schema/tsconfig.json                                       45         8
  packages/extractors/framework-jpa/tsconfig.json                     45         8
  packages/extractors/framework-prisma/tsconfig.json                  45         8
  packages/extractors/framework-openapi/tsconfig.json                 45         8
  packages/extractors/framework-sql/tsconfig.json                     45         8
  packages/extractors/core-ts/tsconfig.json                           45         8
  packages/extractors/framework-next/tsconfig.json                    45         8
  packages/extractors/git/tsconfig.json                               45         8
  packages/extractors/framework-sqlalchemy/tsconfig.json              45         8
  apps/extractor-worker/tsconfig.json                                 45         8
  apps/cli/tsconfig.json                                              45         8
  packages/tools/tsconfig.json                                        42         5
  packages/repo-map/tsconfig.json                                     42         5
  apps/api/tsconfig.json                                              42         5
